,platform,hashtags,message,email,url,name,date,comment_count,like_count
43,instagram,#15minrice,@roryr24 Have you seen this?!,your_favoritebevan@murata.org,www.flawedman.net/imperfectcar.html,Bevan Sòng,2023-01-17,66,131
44,facebook,#edmonton,Another Wednesday. Another trendy parking lot,creiddylad.brodnax@aol.com,www.abusivetruck.org/goodwater.html,Creiddylad Brodnax,2024-09-05,24,202
45,telegram,#edmonton,Another Sunday. Another new form,ga-in_latimer@outlook.com,www.suitcase.org,Ga-in Latimer,2024-09-29,29,1517
46,youtube,#tradewar,@suitcaseman Have you seen this?!,your_favoriteceinwen@aol.com,www.imperfectfirefighter.org,Ceinwen Hóu,2024-02-11,50,64
47,youtube,#15minrice,Surprise in Ottawa. What a terrific idea!,seong-ja.yanagawa@jackiepyon.org,www.profitabledocument.net,Seong-ja Yanagawa,2024-05-26,2,27
48,facebook,#tradewar,Another Monday. Another mean forest fire,marinos.kim@aol.com,www.tree.com,Marinos Kim,2023-12-02,6,132
49,twitter,#15minrice,Poem in Washington dc. What a brilliant idea!,fudokii@hotmail.com,www.book.net,Fudoki Irons,2024-06-11,38,97
50,facebook,#sadnews,Plane in Idaho. What a bad idea!,direheidi@aol.com,www.profitableparkinglot.com,Heidi Lài,2023-07-23,16,197
51,youtube,#sanctuary,Another Saturday. Another corrupt paper,weiyuanf85@outlook.com,www.profitablekitten.com/heatwave/poem.html,Weiyuan Fuwa,2024-08-16,43,5210
52,instagram,#fireisland,Too close for comfort @amazingmanager,safac88@gmail.com,www.water.com,Safa Christos,2024-10-19,26,10998
53,twitter,#badmonkey,Plane in Nz. What a terrific idea!,nabilah1972@outlook.com,www.osmond.gov,Nabilah Daubney,2023-04-18,1166,1
54,telegram,#sadnews,Heat wave in Beijing. What a terrific idea!,germanb@hotmail.com,www.richform.net,German Bridgeman,2024-03-15,40,13407
55,youtube,#sadnews,@profitablewoon-jae Have you seen this?!,wealthycymro@aol.com,www.tsoutsouvas.org/SoCal.html,Cymro Tsurimi,2024-10-04,84,186
56,facebook,#badidea,Too close for comfort @cheap_forest_fire,jong-ilm98@imperfectform.net,www.poem.edu,Jong-il Malet,2024-05-21,1269,163
57,youtube,#sanctuary,Fire in Washington dc. What a horrible idea!,raichos70@aol.com,www.ahmed.org,Raicho Suzuki,2024-08-27,857,58
58,telegram,#fireisland,@rich_killer Have you seen this?!,victorenek@meanbusiness.com,www.document.com,Victorène Kamal,2023-07-30,50,146
59,instagram,#edmonton,Too close for comfort @documentactor,elhaernt87@yahoo.com,www.geddings.edu/pollutedparkinglot.html,Elhaern Tang,2024-08-20,64,5215
60,youtube,#tradewar,Another Saturday. Another dirty business,goodangwyn@yahoo.com,www.saekomeshkat.net,Angwyn Jippensha,2023-12-10,459,168
61,youtube,#oilers,Too close for comfort @medrawd_sells_errors,zelmac@respectedwoman.org,www.story.net,Zelma Chambers,2023-09-10,790,138
62,twitter,#oilers,Paper in Sf. What a brilliant idea!,marlene.goring@hotmail.com,www.masaokinashita.net,Marlene Goring,2023-03-18,57,31
63,telegram,#15minrice,Package in Canada. What a terrific idea!,the_powerful_eirys@hotmail.com,www.abusiveneighbor.com/parkinglot/business.html,Eirys Song,2023-10-17,42,1863
64,telegram,#fireisland,Too close for comfort @imperfectmistake,mu-nanc@hotmail.com,www.accident.org/goodbook.html,Mu-nan Clerides,2023-03-30,665,178
65,telegram,#badidea,@dianthia_likes_suitcases Have you seen this?!,melissab@richheatwave.net,www.poem.org/incredibletruck.html,Melissa Bonner,2024-10-26,87,181
66,facebook,#15minrice,@jae-hyukg22 Have you seen this?!,the_wealthy_leena@outlook.com,www.outdatedstudent.com,Leena Akram,2023-10-24,67,712
67,telegram,#tradewar,@fredoy13 Have you seen this?!,aime1966@gmail.com,www.suitcase.com,Aimé Oken,2023-09-15,3,1501
68,twitter,#sanctuary,Too close for comfort @dirtymanoun,daf73@incrediblestory.org,www.anwar.org/form/forestfire.html,Da Fehler,2024-09-23,19,161
69,telegram,#chickenwar,Another Saturday. Another profitable water,katrinam9@outlook.com,www.truck.net,Katrina Morse,2024-05-31,810,197
70,instagram,#fireisland,Too close for comfort @suitcasekid,mutaal_sells_papers@yahoo.com,www.suitcase.org,Mutaal Kil,2023-08-13,363,3192
71,twitter,#badmonkey,Too close for comfort @brokenisidor,terry_the_house@hotmail.com,www.cowardlymanager.com,Terry Shimura,2024-08-18,78,4217
72,youtube,#tradewar,@carfirefighter Have you seen this?!,jarviaw@gmail.com,www.water.edu,Jarvia Wéi,2023-07-22,44,2253
73,telegram,#chickenwar,@geekywyn Have you seen this?!,dai_the_error@hotmail.com,www.tree.com,Dai Anistonopoulos,2024-05-21,37,92
74,twitter,#sanctuary,Another Sunday. Another dangerous poem,lambrosc81@badpicture.net,www.document.edu/poem/truck.html,Lambros Cosmatos,2023-10-26,52,11886
75,facebook,#oilers,@brokentree Have you seen this?!,jennies@gmail.com,www.kada.edu,Jennie Sa,2023-03-27,198,6823
76,twitter,#bigoil,@rokac67 Have you seen this?!,alicek@gmail.com,www.abusiveinflation.com/brokenhouse.html,Alice Kanaris,2024-04-24,57,109
77,instagram,#sadnews,Another Friday. Another amazing accident,laurieb72@inshan.gov,www.day.com,Laurie Bin,2024-01-19,28,189
78,facebook,#bigoil,Too close for comfort @packagepolitician,the_powerful_cyfeiliog@outlook.com,www.harvard.org,Cyfeiliog Hopper,2023-10-02,51,6778
79,youtube,#immigration,@parking_lotboy Have you seen this?!,arthur.shigi@aol.com,www.story.com,Arthur Shigi,2023-04-07,730,4022
80,facebook,#canada,Another Saturday. Another imperfect story,melantha.mardas@gmail.com,www.corruptfire.org/Calgary.html,Melantha Mardas,2023-11-11,9,2651
81,youtube,#immigration,Accident in Tokyo. What a terrible idea!,jikaip91@gmail.com,www.gennadios.edu/amazingaccident.html,Jikai Polides,2024-10-06,33,4391
82,instagram,#15minrice,Story in Los angeles. What a terrific idea!,electra.sammiya@hotmail.com,www.corruptstory.org,Electra Sammiya,2024-05-06,607,152
83,youtube,#sanctuary,Too close for comfort @cautirv46,zhilani95@hotmail.com,www.parkinglot.org,Zhilan Inshan,2024-05-24,543,8059
84,twitter,#oilers,Another Tuesday. Another imperfect document,kantc@gmail.com,www.sadcriminal.net,Kant Castriota,2023-04-28,46,127
85,youtube,#oilers,@badprogrammer Have you seen this?!,kasugas29@outlook.com,www.parkinglot.org,Kasuga Song,2023-07-05,48,165
86,twitter,#edmonton,Document in Socal. What a terrific idea!,arsenios67@hotmail.com,www.griff.org,Arsenios Vlakhou,2023-11-14,724,3833
87,facebook,#immigration,Accident in China. What a great idea!,donald99@yahoo.com,www.lihuaprobert.net/importedtruck.html,Donald Sinclair,2023-03-17,1111,184
88,instagram,#15minrice,Another Friday. Another imperfect suitcase,christik@aol.com,www.aemiliawu.com,Christi Kwon,2023-07-24,32,4
89,youtube,#edmonton,Car in Arizona. What a great idea!,the_rejected_manami@aol.com,www.fawziyamasanobu.org,Manami Jalili,2023-08-05,17,128
90,telegram,#sadnews,Fire in China. What a terrific idea!,tamakih@truck.com,www.wealthytree.com,Tamaki Hóu,2024-03-02,685,2578
91,twitter,#badidea,@brilliant_poem Have you seen this?!,gilbert.papatamelis@brokenforestfire.com,www.uehling.org,Gilbert Papatamelis,2023-03-26,68,6986
92,telegram,#tradewar,@cassiaz65 Have you seen this?!,bill1946@gmail.com,www.paper.net/Japan.html,Bill Vavasour,2023-05-11,403,23
93,twitter,#bigoil,House in Nyc. What a terrible idea!,schmetterling.sun@donnett.gov,www.imaadkoumoundouros.com,Schmetterling Sun,2023-06-25,30,162
94,instagram,#fireisland,Another Sunday. Another dirty house,koi54@hotmail.com,www.error.gov/surprise/form.html,Koi Rallis,2023-12-09,20,1949
95,telegram,#canada,@dortheag96 Have you seen this?!,cathy.keng@aol.com,www.fire.net/truck/house.html,Cathy Keng,2024-03-16,549,209
96,facebook,#immigration,@harlan1961 Have you seen this?!,tae-woongp@gmail.com,www.powerfulpolitician.org,Tae-woong Pak,2024-04-07,46,4859
97,twitter,#badmonkey,Too close for comfort @phyllise30,fa.gittins@error.com,www.pritchard.org,Fa Gittins,2024-03-26,9,2222
98,facebook,#fireisland,Another Wednesday. Another new plane,sang-hoon52@hotmail.com,www.jinjingglasscock.com,Sang-hoon Russell,2024-08-12,73,101
99,youtube,#sadnews,Too close for comfort @planewoman,the_bad_nic@aol.com,www.paper.com/abusivewildfire.html,Nic Gittens,2024-06-28,46,4517
